id,username,email,hashedPassword,createdAt,updatedAt,firstName,lastName
116,Ocean-Vega,ocean.vega@mannam.com,$2a$10$qdB.E03IbUeIYQRwRrYxhO9l/W79ReXHrMXTophA5feZ4LUIUBlOK,"2023-02-03 09:51:53","2023-02-03 09:51:53",Ocean,Vega
117,Dakota-Pacheco,dakota.pacheco@mannam.com,$2a$10$/9p6bXxTc6dSM.bjKgX7NOUFCcb5SpoAYniMvUf3JGmhB.72t0If.,"2023-02-03 09:51:53","2023-02-03 09:51:53",Dakota,Pacheco
118,Erik-Arias,erik.arias@mannam.com,$2a$10$U38.ZCEK5nmj9gWWsYKAP.1mRGlpZBPt4vcpr.eQBpNVyxmq4Qsv.,"2023-02-03 09:51:53","2023-02-03 09:51:53",Erik,Arias
119,Aleah-Moon,aleah.moon@mannam.com,$2a$10$Q3YtNGMwr//AHLOiF.ZnZO0v5eZ8t/HTjO/hAn3RZTrLa5GGAaPBK,"2023-02-03 09:51:53","2023-02-03 09:51:53",Aleah,Moon
120,Nova-Zavala,nova.zavala@mannam.com,$2a$10$pda0cySEWcPEoIzTUfn5c.UhHr1VPTA5mj5c5a3DwOpq/5X0/WFKS,"2023-02-03 09:51:53","2023-02-03 09:51:53",Nova,Zavala
121,Liv-Fuentes,liv.fuentes@mannam.com,$2a$10$coNxJAefsh34PQq59mTT7OG2g3mCCDSxTC9GbSXgwNRHkpkpF7iMi,"2023-02-03 09:51:53","2023-02-03 09:51:53",Liv,Fuentes
122,Bowen-Salazar,bowen.salazar@mannam.com,$2a$10$O4hd5Te/GixEMd57baMRYexRuVbVgOuepvP9cOCbgjmSlVFtaSpa6,"2023-02-03 09:51:53","2023-02-03 09:51:53",Bowen,Salazar
123,Freya-Leach,freya.leach@mannam.com,$2a$10$wmfZ0YYCtbjgFosXNLUjj.TeDn12McgKL.Br56nlMSuShmsocNJR6,"2023-02-03 09:51:53","2023-02-03 09:51:53",Freya,Leach
124,Westin-Marquez,westin.marquez@mannam.com,$2a$10$pyTEY/naggBhZ9UJ29/1wOiWTC31QYEgFhfEX.IawVrqqvSBMJTie,"2023-02-03 09:51:53","2023-02-03 09:51:53",Westin,Marquez
125,Milani-Turner,milani.turner@mannam.com,$2a$10$lHCWp2vMapd4iPHm/czRC.JTsdSMPVQVLS/X6LrQBTBxahs2xDvkq,"2023-02-03 09:51:53","2023-02-03 09:51:53",Milani,Turner
126,Joshua-Leblanc,joshua.leblanc@mannam.com,$2a$10$xpxe2iRd//zJkqciSSZcjuInAwcrdDGTjcNIpsxsk3usbOrbZAJLa,"2023-02-03 09:51:53","2023-02-03 09:51:53",Joshua,Leblanc
127,Novalee-Vincent,novalee.vincent@mannam.com,$2a$10$OED5PazTC6oNKY3oSqgjPOtuwB7Kk3fN6tNK3wg/.QG9GHABpgwWa,"2023-02-03 09:51:53","2023-02-03 09:51:53",Novalee,Vincent
128,Aarav-Contreras,aarav.contreras@mannam.com,$2a$10$7J/sFyy7Q/zqYjl/Od9amOmbpepkVq9ha9V4HMpmt.bjkmtiB6cs2,"2023-02-03 09:51:53","2023-02-03 09:51:53",Aarav,Contreras
129,Daniela-Khan,daniela.khan@mannam.com,$2a$10$7twZR055tbUa6bxnYp9FvuXUoZmTpnYoSf72FmrfqsGwdOLPG74DC,"2023-02-03 09:51:53","2023-02-03 09:51:53",Daniela,Khan
130,Kendrick-Jensen,kendrick.jensen@mannam.com,$2a$10$XACSbUiiKBNLwSiV/Vgf8OOsyoT2zRqvtl1MYVF2qAfV6szHs8cLq,"2023-02-03 09:51:53","2023-02-03 09:51:53",Kendrick,Jensen
131,Jane-Santiago,jane.santiago@mannam.com,$2a$10$bVeweHxlvYdRPclxzd8tj.SU3pHrbN59.PAK9NfATrw0noV5e533q,"2023-02-03 09:51:53","2023-02-03 09:51:53",Jane,Santiago
132,Beckham-Blackburn,beckham.blackburn@mannam.com,$2a$10$xTep0XkgwT6JKPS4HKIk3ufxZ6pl4034Irqt5PK3p9chvPHaW1qH6,"2023-02-03 09:51:53","2023-02-03 09:51:53",Beckham,Blackburn
133,Frida-Rosales,frida.rosales@mannam.com,$2a$10$i.3sjLi1Vd4ZSF2yZMOzIufpeHkO0kL0PQz7CNIljHAeLOM1ZZSmm,"2023-02-03 09:51:53","2023-02-03 09:51:53",Frida,Rosales
134,Wilder-Norton,wilder.norton@mannam.com,$2a$10$45/x4.fUiEdfWUSeoc7emeZM2kZCgRAcyxyNeR.V6KqxMP64aD3ma,"2023-02-03 09:51:53","2023-02-03 09:51:53",Wilder,Norton
135,Kylee-Adams,kylee.adams@mannam.com,$2a$10$T3Eb3lqlgyoZn8XduUWI4OSYTy2eDSCcf.svG5JeRtbWNdnssJTUm,"2023-02-03 09:51:53","2023-02-03 09:51:53",Kylee,Adams
136,Hudson-Lang,hudson.lang@mannam.com,$2a$10$/Uu41RY0KlH4s9O2mWOdPOvCaxvWEz9VlNbGFdfzoXuQw4JH99WIa,"2023-02-03 09:51:53","2023-02-03 09:51:53",Hudson,Lang
137,Amirah-Gonzales,amirah.gonzales@mannam.com,$2a$10$O7rvo/9QLibH1H9ZLWRxqeiBK5f46BzLxmDqxVbMCmPOXP4xgpG1i,"2023-02-03 09:51:53","2023-02-03 09:51:53",Amirah,Gonzales
138,Brayden-Logan,brayden.logan@mannam.com,$2a$10$My7erdHrsoV3ABLyLHaeOeC3JIfDO9i6EyvBkL3uUkb3YRRPJiDpW,"2023-02-03 09:51:53","2023-02-03 09:51:53",Brayden,Logan
139,Kora-Barrett,kora.barrett@mannam.com,$2a$10$y93hIbwZ2efhxNaLZrrHLeMl4KJHp8d1KU7yrxCHrnsX8AYeNZRJ2,"2023-02-03 09:51:53","2023-02-03 09:51:53",Kora,Barrett
140,Angelo-Yang,angelo.yang@mannam.com,$2a$10$i0xGX9jK4evZGcYQtdfFGONrms2YaJva5gYvfmK5.ZSiZRgGAOsx6,"2023-02-03 09:51:53","2023-02-03 09:51:53",Angelo,Yang
141,Angelina-Romero,angelina.romero@mannam.com,$2a$10$xqi/LhkhBU1gBPnaVPOsKuGxmS6Www2PgSg4nLX5oVspfG56JuuSi,"2023-02-03 09:51:53","2023-02-03 09:51:53",Angelina,Romero
142,Bryson-Hess,bryson.hess@mannam.com,$2a$10$6EKbE6OtQiBDa/cQ.1kxluCL.pl/bgF9Vv/Bgx/6gBSJTP7BR6yFS,"2023-02-03 09:51:53","2023-02-03 09:51:53",Bryson,Hess
143,Kaliyah-Dorsey,kaliyah.dorsey@mannam.com,$2a$10$XNkdTm1hGpBsrYK/tzdDR.ZM4C/2XkiBvNuviqiu0rg2Es0aCbS.K,"2023-02-03 09:51:53","2023-02-03 09:51:53",Kaliyah,Dorsey
144,Enoch-Sexton,enoch.sexton@mannam.com,$2a$10$fidz/J5W.MOk2bVzHjNg7.nhCs78f3TvWjeY2lpfUWgyLdAQs7gb.,"2023-02-03 09:51:53","2023-02-03 09:51:53",Enoch,Sexton
145,Ellen-Bryant,ellen.bryant@mannam.com,$2a$10$zTS977EqegwXymb2BeLqBujDCXUEy86Hbel1PS5SbInEt6QoDstD.,"2023-02-03 09:51:53","2023-02-03 09:51:53",Ellen,Bryant
146,Jonah-Blevins,jonah.blevins@mannam.com,$2a$10$gVjqQX6zB79nstSauwVtd./lMjHGZmCjuvOIaCEk/lSD5iy0473Fy,"2023-02-03 09:51:53","2023-02-03 09:51:53",Jonah,Blevins
147,Aila-Buchanan,aila.buchanan@mannam.com,$2a$10$JaZIKLL1FF5pk6bYKOqGf.xbJHtyNjYUEMGAK6l8dRCxWF7jDqnyK,"2023-02-03 09:51:53","2023-02-03 09:51:53",Aila,Buchanan
148,Enrique-McLaughlin,enrique.mclaughlin@mannam.com,$2a$10$FC8R93DYjeYcHQa5jhXId.9eOB3gVRcL19.af2DRXXuwmWbkS1EvW,"2023-02-03 09:51:53","2023-02-03 09:51:53",Enrique,McLaughlin
149,Stephanie-Brady,stephanie.brady@mannam.com,$2a$10$hCplBJ0rPzKk5Ij4Z0Lkru.lmmQOiGNmT9SKoRrIXoSBUMnh5WPqC,"2023-02-03 09:51:53","2023-02-03 09:51:53",Stephanie,Brady
150,Reed-Pineda,reed.pineda@mannam.com,$2a$10$4ILx925B8TqWgX8giTJUsuMYHcrDd9BsBnjH6b4DxY/U8MiOqau42,"2023-02-03 09:51:53","2023-02-03 09:51:53",Reed,Pineda
151,Nola-Cook,nola.cook@mannam.com,$2a$10$RhQzQ3JlZa1huhXc26/l1uAjF8AGrDGE7YkHydZzg8hiDUq.YCtSq,"2023-02-03 09:51:53","2023-02-03 09:51:53",Nola,Cook
152,Ezekiel-Duncan,ezekiel.duncan@mannam.com,$2a$10$WYgly8hr02UvtWbAyaj9GuFszCsqZlLSe78Dm4UmzutYNE1diH7w.,"2023-02-03 09:51:53","2023-02-03 09:51:53",Ezekiel,Duncan
153,Elise-Gomez,elise.gomez@mannam.com,$2a$10$fLuupHdIXQiWvkcBc6CHJuKDaPh7DV7Lbqehf4dl7g/MS9kXiaKbS,"2023-02-03 09:51:53","2023-02-03 09:51:53",Elise,Gomez
154,Isaiah-Enriquez,isaiah.enriquez@mannam.com,$2a$10$IfEbWTROYyVkHMuaT.hmFubdEfQrOpDOcYCKzoLx8ZPWzAHDzDliW,"2023-02-03 09:51:53","2023-02-03 09:51:53",Isaiah,Enriquez
155,Nellie-Lucas,nellie.lucas@mannam.com,$2a$10$CRwz4qOJf3QqsvMM6QSfgeLY2xab6.nqUsvpulG/if5g5/wxAAQ6y,"2023-02-03 09:51:53","2023-02-03 09:51:53",Nellie,Lucas
156,Chance-Herring,chance.herring@mannam.com,$2a$10$ESEUTR2.KgEawRzk0WbsROYzPTHI0X5YJbUp9WP1gGdnxZ0A1neR2,"2023-02-03 09:51:53","2023-02-03 09:51:53",Chance,Herring
157,Denver-Elliott,denver.elliott@mannam.com,$2a$10$vyhhtAafR.Cmsb9l4ZyZl.oU9ZMpxhXPqt/9IOuzIiKt5FekcFdJy,"2023-02-03 09:51:53","2023-02-03 09:51:53",Denver,Elliott
158,Blake-Morgan,blake.morgan@mannam.com,$2a$10$DVG5uea.rHHb2mlDRe5jD.y.EQVVvbpSpigh5khsaLc/iWFWkw6xO,"2023-02-03 09:51:53","2023-02-03 09:51:53",Blake,Morgan
159,Delilah-Odom,delilah.odom@mannam.com,$2a$10$k2zYB.nX/TDxxb5UhJ.Nl.lCREpeu78VxkmWZvBBTg56FCoYlzBSa,"2023-02-03 09:51:53","2023-02-03 09:51:53",Delilah,Odom
160,Kylian-Fleming,kylian.fleming@mannam.com,$2a$10$mvAK6RGnAwdpFvCfXHixm.GjSGihBxIiaXZEgryiz214w06MZHaJy,"2023-02-03 09:51:53","2023-02-03 09:51:53",Kylian,Fleming
161,Fatima-Marsh,fatima.marsh@mannam.com,$2a$10$ZcQ1zAHJKTX.RGbR0t7ZeOfVMk8/6j.zGRS9vAixGjJXBtCVXgaR2,"2023-02-03 09:51:53","2023-02-03 09:51:53",Fatima,Marsh
162,Bo-Robles,bo.robles@mannam.com,$2a$10$d.K5PoX33QSVcJ.aI/M64Op0HKyAkI3L44vPectqhrnFPd0m4SVIG,"2023-02-03 09:51:53","2023-02-03 09:51:53",Bo,Robles
163,Felicity-Humphrey,felicity.humphrey@mannam.com,$2a$10$np7HwctITW5N.VAdGi90eOFVdjY2VJCVJE/kybn4ZEfPgBh8lrMCG,"2023-02-03 09:51:53","2023-02-03 09:51:53",Felicity,Humphrey
164,Krew-Weber,krew.weber@mannam.com,$2a$10$T0bQXhSQU8zXus2kT6OtJe.ouzfK8SFwp7mp2zLuCYEvjIKBoxjji,"2023-02-03 09:51:53","2023-02-03 09:51:53",Krew,Weber
165,Alayah-Ellis,alayah.ellis@mannam.com,$2a$10$Pw3uiRmWcgT6P5qK/kezwOpJF/o4G/nAimGjG5pZ8K6o.Rl.t8z3C,"2023-02-03 09:51:53","2023-02-03 09:51:53",Alayah,Ellis
166,Cole-Morrison,cole.morrison@mannam.com,$2a$10$cUNZ0wj0GHlBlrYQNLH/dOkccSyb/sK.CZYyg2ajXxeoYJrtMQ9lK,"2023-02-03 09:51:53","2023-02-03 09:51:53",Cole,Morrison
167,Rebecca-Strong,rebecca.strong@mannam.com,$2a$10$/tgxGRCyu2fc3Hyu8bUhlOEikNDq3xjHW/vrqlbO78UGkT6cCazmK,"2023-02-03 09:51:53","2023-02-03 09:51:53",Rebecca,Strong
168,Axl-Nichols,axl.nichols@mannam.com,$2a$10$QoRLF3Sfy4/ZEcX7czZm.eZAOS2S6N1danvqsAxLZLLpzU943XcPu,"2023-02-03 09:51:53","2023-02-03 09:51:53",Axl,Nichols
169,Aliyah-Greene,aliyah.greene@mannam.com,$2a$10$ZEZZwU9QmrAkROCWro0sdu.sqGJ.w/kJnltQECAqkql2uoZ3SDmHi,"2023-02-03 09:51:53","2023-02-03 09:51:53",Aliyah,Greene
170,Griffin-Hoover,griffin.hoover@mannam.com,$2a$10$Xp.Y99HHJ4ryUMp6g2muxO60yMtHF0aARGxbMgIxFIV4E639n8IDq,"2023-02-03 09:51:53","2023-02-03 09:51:53",Griffin,Hoover
171,Virginia-Schmitt,virginia.schmitt@mannam.com,$2a$10$uRb1sp4CjnCUUlUfu.eIxezCv67QkwG1nV3GzMGGl.gYMzvhNkQ3.,"2023-02-03 09:51:53","2023-02-03 09:51:53",Virginia,Schmitt
172,Murphy-Craig,murphy.craig@mannam.com,$2a$10$AIjx7L1peNvmtZXrNzZK5.MabW4V039eFesnVkjMoglssx.MzAWOK,"2023-02-03 09:51:53","2023-02-03 09:51:53",Murphy,Craig
173,Brynn-Foley,brynn.foley@mannam.com,$2a$10$S3JDgM8Wf.BQXCyRYFVsru6qNsxSQFxC.gF2m4j.M/L.K1VY4mhy6,"2023-02-03 09:51:53","2023-02-03 09:51:53",Brynn,Foley
174,Mohammad-Ventura,mohammad.ventura@mannam.com,$2a$10$eLNLgEBWit43tMMMvBGzMunvkG9bwfzdfdFkCJvdSqOhQ0Ngi.tB.,"2023-02-03 09:51:53","2023-02-03 09:51:53",Mohammad,Ventura
175,Zora-Ray,zora.ray@mannam.com,$2a$10$1Fvx41NDaQeGL/4Xj8d46eOM7GTqsSytGmHplUk8fAs.4iDrdVR0u,"2023-02-03 09:51:53","2023-02-03 09:51:53",Zora,Ray
176,Arlo-Medina,arlo.medina@mannam.com,$2a$10$TAv/s610Q0E8j0myX0XMiu7eDpBgfOZuN0oJAg1Fx.KGmBDXAzZZK,"2023-02-03 09:51:53","2023-02-03 09:51:53",Arlo,Medina
177,Elliana-Jarvis,elliana.jarvis@mannam.com,$2a$10$7OdiJwTG0pyjfni33gwRkOlVlRu1rqLnvzBdHX.PHeLqGkOyC3b.y,"2023-02-03 09:51:53","2023-02-03 09:51:53",Elliana,Jarvis
178,Marlon-Floyd,marlon.floyd@mannam.com,$2a$10$D7pPsOiL/3jLRJ070zpBAOHrpC9LXmGDlTEDkO6ebj6JLTmnO9wcq,"2023-02-03 09:51:53","2023-02-03 09:51:53",Marlon,Floyd
179,Yaretzi-Farley,yaretzi.farley@mannam.com,$2a$10$aaoEhFhfo5aT6vCX263LaeisHDgTteOTFd2oS1x8rJ2P9iuW9dJli,"2023-02-03 09:51:53","2023-02-03 09:51:53",Yaretzi,Farley
180,Graysen-Ortiz,graysen.ortiz@mannam.com,$2a$10$O4gpDi4eovyX6bQkzaTLEOY12g9UIWaQoAZYEt8Ixqq9LBNp7pUa2,"2023-02-03 09:51:53","2023-02-03 09:51:53",Graysen,Ortiz
181,Anna-Higgins,anna.higgins@mannam.com,$2a$10$aJmwzV6GPdZVwt.HJxd17usLZL21emAUe0wyrWIvf/IS3d7Eimsdm,"2023-02-03 09:51:53","2023-02-03 09:51:53",Anna,Higgins
182,Sterling-Lambert,sterling.lambert@mannam.com,$2a$10$vTk8m2wBMQ5Ridw7URJEJOVQtlq2cxS52ZVK2.hezUzcOXF2Xf1Zi,"2023-02-03 09:51:53","2023-02-03 09:51:53",Sterling,Lambert
183,Nina-Huffman,nina.huffman@mannam.com,$2a$10$L9lXNqdt5BlcNos5mFW0xuTwoOWY4EaallVO9Lu4A724CkUyQSR7K,"2023-02-03 09:51:53","2023-02-03 09:51:53",Nina,Huffman
184,Chris-Pratt,chris.pratt@mannam.com,$2a$10$3E6ozpmut35LgLpIDK2CM.Hddv4fV5acjWXYv2cLzzCa1rIK/l5Dy,"2023-02-03 09:51:53","2023-02-03 09:51:53",Chris,Pratt
185,Ailani-Welch,ailani.welch@mannam.com,$2a$10$I/VClAYsolUCdAdMA3qFfuKpwkJ13zQyyGYY4NEZ49RPIuUWeCS3C,"2023-02-03 09:51:53","2023-02-03 09:51:53",Ailani,Welch
186,Hendrix-Cannon,hendrix.cannon@mannam.com,$2a$10$3x/qy1y/l4LouXV7oh58Ne1.TC9IW/VrttZLjhuDK1S59NmoIC/k2,"2023-02-03 09:51:53","2023-02-03 09:51:53",Hendrix,Cannon
187,Noa-Santiago,noa.santiago@mannam.com,$2a$10$3paJtm7SYWseL7OeS2QKte7c3.mIzPgb/Oj18P032vSWJX5c68Nom,"2023-02-03 09:51:53","2023-02-03 09:51:53",Noa,Santiago
188,Beckham-Molina,beckham.molina@mannam.com,$2a$10$ILOcADOFx8c6m25LG4BNRetl9XseHzYQoD5yRTDvOisAO0/TN.Yh6,"2023-02-03 09:51:53","2023-02-03 09:51:53",Beckham,Molina
189,Alexandria-Gentry,alexandria.gentry@mannam.com,$2a$10$4V.KdIvi6wGFB9ZgmW07xemS/jdyHIJbfJC3Yy7o.uZoB8G2dtw9O,"2023-02-03 09:51:53","2023-02-03 09:51:53",Alexandria,Gentry
190,Magnus-Harrell,magnus.harrell@mannam.com,$2a$10$SA16qcHmhgq31Xq6gRutb.65Uz5kFe2qb20NTpD64XSn4PoGTISZi,"2023-02-03 09:51:53","2023-02-03 09:51:53",Magnus,Harrell
191,Kara-Santiago,kara.santiago@mannam.com,$2a$10$38gQpRQHh5dJECQJwzq3j.o8olnZJ4fQQMTdsXk6WjKBRDwVjK/7S,"2023-02-03 09:51:53","2023-02-03 09:51:53",Kara,Santiago
192,Beckham-Cano,beckham.cano@mannam.com,$2a$10$IqScuD50J8Qf5pmcMLVm0emAbKEtCYDE/0/VH3vXctD8Td6EULvri,"2023-02-03 09:51:53","2023-02-03 09:51:53",Beckham,Cano
193,Egypt-Bradford,egypt.bradford@mannam.com,$2a$10$sMVkbdTpx99.6//zdMTxDO452StX3snYH28QIuH0Jl2eQEbsL3K8O,"2023-02-03 09:51:53","2023-02-03 09:51:53",Egypt,Bradford
194,Ander-Farmer,ander.farmer@mannam.com,$2a$10$kaYoskF80dZm8quEg9tsUePVTa/nb/k4QvcFg9gl./oK46vIdGazq,"2023-02-03 09:51:53","2023-02-03 09:51:53",Ander,Farmer
195,Madelynn-Rich,madelynn.rich@mannam.com,$2a$10$cefySrA8aSxwjiv10NSAce70XDjFbDfBMz.A86a6L2XxUuwFWcsI.,"2023-02-03 09:51:53","2023-02-03 09:51:53",Madelynn,Rich
196,Miller-Velazquez,miller.velazquez@mannam.com,$2a$10$StwvuhN3VqXMnv4X.6MIY.sIkx9DHkHdYk1rmdnhbbP.wiZQU/G7G,"2023-02-03 09:51:53","2023-02-03 09:51:53",Miller,Velazquez
197,Jaliyah-Russell,jaliyah.russell@mannam.com,$2a$10$rZ9g0jGqPBT6XghGbkazdOX22ipqiMI/CtgLdWpXJexXCP9wGboru,"2023-02-03 09:51:53","2023-02-03 09:51:53",Jaliyah,Russell
198,Weston-McCann,weston.mccann@mannam.com,$2a$10$01vxHlJt5ji2joOFZchBW.9wFse/xtd.urN58JYg59q4I/SgxINKO,"2023-02-03 09:51:53","2023-02-03 09:51:53",Weston,McCann
199,Joyce-Velasquez,joyce.velasquez@mannam.com,$2a$10$hqle1T..kDKajfXuivGZ5eHD3rgGhmYFU77ZzbKPWShcBITy9dI5O,"2023-02-03 09:51:53","2023-02-03 09:51:53",Joyce,Velasquez
200,Sullivan-Fowler,sullivan.fowler@mannam.com,$2a$10$O4EI3/brM.NijUwQ4x5/auBZHaD6JsIXgwSU8UtqeG7GcdGgEFHYi,"2023-02-03 09:51:53","2023-02-03 09:51:53",Sullivan,Fowler
201,Lennon-Middleton,lennon.middleton@mannam.com,$2a$10$OwC3b3SY8NQglWuIsL1Cx.QOMATyfMynXttZas4yvdvN.w0xARYXa,"2023-02-03 09:51:53","2023-02-03 09:51:53",Lennon,Middleton
202,"Misael-O’Donnell","misael.o’donnell@mannam.com",$2a$10$B4HrJ/ba43TlFK3BYiqblen8be3LmxFWAYbYYOCnHsXW0Gc1rx6ZS,"2023-02-03 09:51:53","2023-02-03 09:51:53",Misael,"O’Donnell"
203,Bellamy-Winters,bellamy.winters@mannam.com,$2a$10$6qt./nbH1mgFCeKZpaWzneVDhZfwI1wdTvQmco/xr2wahOXdWECPG,"2023-02-03 09:51:53","2023-02-03 09:51:53",Bellamy,Winters
204,Deandre-Doyle,deandre.doyle@mannam.com,$2a$10$LiQ7sjdF.oaBkOh.r7Jca.6nhwbYj6pfyPMm8q4fJKYkC5A7SYvJ.,"2023-02-03 09:51:53","2023-02-03 09:51:53",Deandre,Doyle
205,Annalise-Randolph,annalise.randolph@mannam.com,$2a$10$wXp4WvYOVO7hyzFojHHGnux4RVtJNGPpRU5XOt49Gz6de0Hcm5tGy,"2023-02-03 09:51:53","2023-02-03 09:51:53",Annalise,Randolph
206,Eugene-Yu,eugene.yu@mannam.com,$2a$10$O5i6p4f8mkv5kcN1Gzoce.9s4AY1G.yHEpGcIoOF5n3w00djyo1oe,"2023-02-03 09:51:53","2023-02-03 09:51:53",Eugene,Yu
id,organizerId,name,about,type,private,city,state,createdAt,updatedAt
4,104,"Hi guys",asdkvjfsalkdvjflskavjflkjsdkvfljdsavlkjfsdv,"In person",1,"New York",NY,"2023-02-03 09:51:47","2023-02-03 09:51:47"
5,105,"Tennis Club",asdkvjfsalasdvfsvdkdvjflskavjflkjsdkvfljdsavlkjfsdv,Online,0,Phoenix,AZ,"2023-02-03 09:51:47","2023-02-03 09:51:47"
6,106,"WoW Club","For the Alliance",Online,0,Scottsdale,AZ,"2023-02-03 09:51:47","2023-02-03 09:51:47"
7,128,"Phoenix Impact Investing Meetup Group","To inform and educate individuals and the public about Impact Investing, a process where investors identify opportunities that make money and a difference in their community.

People who want to learn how to harness the economy to fund the social changes they seek should join and people who have resources to invest in making those changes.

We will provide free educational material and real-world examples of how Impacting Investing delivers a win-in outcome for people and profits.","In person",0,Phoenix,AZ,"2023-02-03 09:58:20","2023-02-03 09:58:20"
8,147,"Young Social Professionals -YSP PHX 2.0","Are you looking to make new friends with other young professionals? This group might be for you! YSP 2.0 is a new group designed to bring people together and form new friendships through a variety of activities such as: hiking, trying new restaurants, movies, game night, karaoke, dinner, dancing, wine tasting, brunches, happy hour, etc. Since a majority of our members are transplants from other cities, we understand the challenges of meeting people and making new friends. We are an easy-going group that doesn’t aspire to be as big as the other Meetup groups, but instead we focus on building lasting friendships and hosting fun events where you can get to know the other members. Most of the members in our group range in age from mid-20’s to late 30’s. While almost everyone has at least a bachelor’s degree, it is not a strict requirement.

If you are interested in meeting like-minded people and making new friends, follow the instructions and submit your information. Due to the popularity of the group, applications will be reviewed 1-2 times monthly and offered on a first come, first served basis with room permitting. You will be sent an email and private message the organizer and then if you you made the cut off you will be in and if not you can re-apply and try for the next months round (we strongly recommend you review your email settings for meetup as the groups has grown in popularity)

Please note: This is intended as a social group, not a networking group or a singles group. Therefore, please do not message other members of the group through the Meetup app to ask them out or solicit business, especially if you have not met them in person. We have a zero tolerance policy for this, and if cases are brought up to the leadership team, the person will be removed and banned from the group. The decision cannot be appealed.

Instructions for joining:

Please post a clear and recent photo of yourself in addition to telling us a bit about yourself with a short intro in your profile. This will help us learn a little bit about you and find you at our events. (All information must be accurate and factual.) This is a private group and we reserve the right to remove members we consider unfit for the group or poses harm to other members.","In person",0,Phoenix,AZ,"2023-02-03 09:58:20","2023-02-03 09:58:20"
9,185,"Scottsdale's BEST Over 50 ""Happy Hours & More"" by Debra","Join our FAMILY OF FRIENDS, for those over 50 that want to have fun! We will be making new friendships while enjoying a variety of activities together. We will always have many events to choose from. Please let me know if there is something you would like to see on our calendar. Any suggestions you might have, are always welcomed. Most of the events will be in Scottsdale, but may also take place in other areas of the valley. The majority of our members are single, but couples are welcome to join. In addition to dining and entertainment, we might also have a day trip, cruise or other travel itineraries to choose from. There is one guideline that we must adhere to, in order to be considerate to all our members and hosts. If you sign up for an event with reserved seating (i.e. a happy hour, dinner, Sunday brunch), and you are a no show 3 times, your membership will be terminated.

""Scottsdale's BEST Over 50"" has been waiting for you.

Let’s have fun!","In person",0,Scottsdale,AZ,"2023-02-03 09:58:20","2023-02-03 09:58:20"
